,x,y,vx,vy,E_total,E_kin,E_pot
30,-10.944426422828768,-138.29161684258003,4.7401146541455645,-9.017550127073806,-53038.897063367534,4670.320375293045,-57709.21743866057
31,-9.729124371714175,-140.27694795182944,4.978418542096784,-6.85925479738073,-53196.000733142195,3232.5312400057637,-56428.531973147954
32,-8.457292731916635,-141.71881894278644,5.191742017981753,-4.671876146029483,-53284.867884983716,2195.127535730244,-55479.99542071395
33,-7.1357147935904734,-142.61151646989862,5.375405868427117,-2.468198491448922,-53335.77378966351,1574.414641958014,-54910.188431621515
34,-5.77267259531148,-142.95290023650418,5.521957955111514,-0.26463774548204855,-53370.63877537,1375.2923757458918,-54745.93115111589
35,-4.378662758031922,-142.74583268591505,5.621431704377317,1.9145334761921067,-53405.79677578939,1586.9669777297413,-54992.763753519146
36,-2.9666639277103206,-142.00047274604097,5.6646257354652985,4.035434737415379,-53456.79822097944,2176.7723209275528,-55633.570541907
37,-1.5514860784155198,-140.7362535313353,5.646400676381648,6.058771267615987,-53542.05575892185,3086.5747442189477,-56628.6305031408
38,-0.14865282362223597,-138.9824672517782,5.566071967322143,7.945828140581172,-53682.81396008581,4235.280389327747,-57918.094349413564
39,1.2265931878283056,-136.7775752319297,5.4263846211456555,9.662440539779542,-53900.224103898,5526.378325862156,-59426.60242976015
40,2.5600149469188187,-134.16778663398458,5.232487416710087,11.181010860387483,-54211.4505471435,6857.72677917595,-61069.17732631945
41,3.8388770729911634,-131.2052942162277,4.991124807413864,12.481332795311218,-54626.27365987803,8131.274783572204,-62757.548443450236
42,5.0522603979654725,-127.94640681572093,4.709983325449638,13.550642874362579,-55145.030848191236,9261.173935553714,-64406.20478374494
43,6.191227746639664,-124.44973974851463,4.397150984757917,14.383139041850898,-55758.20573878866,10179.433146598789,-65937.63888538745
44,7.2488673260707825,-120.77457275873995,4.060677971716463,14.9791498672621,-56447.551422460325,10838.881635114667,-67286.43305757499
45,8.220238627590925,-116.97944265129043,3.7082355336847126,15.344111956319715,-57188.351153105505,11213.675212561,-68402.0263656665
46,9.10224484023121,-113.12100163675534,3.34686795863633,15.487485965387842,-57952.29414317546,11297.868599728436,-69250.16274290389
47,9.893453925211864,-109.25314374453802,2.9828279225057277,15.421709646270552,-58710.453983673564,11102.68758731193,-69813.14157098549
48,10.593887584188137,-105.42638119488687,2.6214819024212828,15.161253450435341,-59435.95780857509,10653.109809887694,-70089.06761846278
49,11.204793801712684,-101.68744002818005,2.2672709030697638,14.721814744593864,-60106.075972071376,9984.255602492165,-70090.33157456355
50,11.728414985723584,-98.07903833955314,1.9237122823835566,14.119663315427102,-60703.60438970466,9137.950248888505,-69841.55463859317
51,12.167760394794195,-94.63980949424551,1.5934303817643154,13.371134406791212,-61217.52967494267,8159.681506770241,-69377.2111817129
