,x,y,vx,vy,E_total,E_kin,E_pot
29,-7.473456718162371,-181.1091793501597,6.642250404627634,-13.349579048512014,-3.3348367924627382,10004.88380446111,-10008.218641253567
30,-5.780408320345067,-183.90190993286234,6.891812744558426,-8.966735309838693,-3.3372933900391217,5755.474126024468,-5758.811419414502
31,-4.032870695531914,-185.5822859571573,7.077601680104693,-4.460937127479768,-3.339771663857391,3149.6582518896694,-3152.9980235535186
32,-2.247161496588342,-186.1272868513431,7.196816586523155,0.10585397527188523,-3.342268264881568,2331.2418319861044,-2334.5841002509987
33,-0.4401517395055905,-185.5295087857691,7.247835863148819,4.670813227703321,-3.3447818239801563,3345.6429408255526,-3348.98772264953
34,1.371032063314876,-183.79726928171652,7.23024018429705,9.171143140282512,-3.34731292311335,6137.380782997866,-6140.728095920989
35,3.169310348382931,-180.95448897118538,7.144825866299966,13.544963915879462,-3.3498642196063884,10553.156286400159,-10556.506150619767
36,4.9379550623579025,-177.04035192399502,6.993608482936206,17.732192674992163,-3.3524407370423432,16350.354750403932,-16353.707191140973
37,6.66089395934517,-172.10874869327247,6.7798172600634565,21.67540073288078,-3.355050354555715,23210.50135548704,-23213.856405841565
38,8.32301243664819,-166.22750885281062,6.50788117462672,25.32063876090163,-3.35770453963778,30756.926908941074,-30760.284613480704
39,9.910450989617981,-159.47743223542858,6.183408051781468,28.618220568456547,-3.3604193948267493,38575.66876378494,-38579.02918317978
40,11.410896729223733,-151.95113024917075,5.813158253283676,31.52345748739538,-3.3632171106291935,46238.45313768048,-46241.816354791124
41,12.813867826993082,-143.75169045788334,5.40501469626915,33.99733696583222,-3.3661279472580645,53326.48970858523,-53329.855836532486
42,14.110990174938944,-134.9911789649151,4.967950776135421,36.007141017156954,-3.3691928895859746,59453.76326145891,-59457.132454348495
43,15.296265862865337,-125.78899592891598,4.511997004861525,37.527002620344525,-3.372467117442284,64288.53191876509,-64291.90438588253
44,16.36633307619899,-116.27009967689179,4.0482053203014585,38.53840091321337,-3.376024338649586,67571.83400682971,-67575.21003116836
45,17.320716336481894,-106.5631143296946,3.588606254246249,39.030598656454806,-3.379961680082488,69131.95768481701,-69135.33764649711
46,18.16206402006197,-96.79833475879839,3.146147227736699,39.00102692007753,-3.3844037930102786,68894.02544396433,-68897.40984775734
47,18.896365815287922,-87.10564160073497,2.7345885814676096,38.45561987975515,-3.3895021094649564,66884.07037707506,-66887.45987918453
48,19.533134850078348,-77.61233938484955,2.368316296310983,37.409092236984236,-3.3954188151401468,63227.20968335549,-63230.60510217063
49,20.085526218902128,-68.44093561801897,2.062008118384253,35.88512478002397,-3.4022725426839315,58139.73260811779,-58143.13488066047
50,20.570345358933217,-59.70689346175614,1.830060147875706,33.91766934349359,0.13662391756952275,51919.08362277336,-51918.94699885579
51,21.007727033621816,-51.505442432736274,1.6838598894834789,31.668427635916085,0.13442127125745174,45257.61118763992,-45257.476766368665
